grafo,algoritmo,raiz,pai(10),pai(20),pai(30)
grafo_1.txt,BFS,1,2042,8382,2394
grafo_1.txt,DFS,1,709,666,86
grafo_1.txt,BFS,2,8935,9071,3555
grafo_1.txt,DFS,2,709,666,86
grafo_1.txt,BFS,3,7685,9543,5783
grafo_1.txt,DFS,3,709,666,86
grafo_2.txt,BFS,1,-,-,-
grafo_2.txt,DFS,1,-,-,-
grafo_2.txt,BFS,2,1351,-,-
grafo_2.txt,DFS,2,3946,-,-
grafo_2.txt,BFS,3,-,46738,12999
grafo_2.txt,DFS,3,-,217,3513
grafo_3.txt,BFS,1,-,-,141597
grafo_3.txt,DFS,1,-,-,141597
grafo_3.txt,BFS,2,158403,75471,-
grafo_3.txt,DFS,2,192218,141526,-
grafo_3.txt,BFS,3,158403,319691,-
grafo_3.txt,DFS,3,106718,141526,-
grafo_4.txt,BFS,1,243865,370783,136244
grafo_4.txt,DFS,1,12269,10738,1531
grafo_4.txt,BFS,2,-,-,-
grafo_4.txt,DFS,2,-,-,-
grafo_4.txt,BFS,3,-,-,-
grafo_4.txt,DFS,3,-,-,-
grafo_5.txt,BFS,1,1888350,-,2502539
grafo_5.txt,DFS,1,1888350,-,191713
grafo_5.txt,BFS,2,-,-,-
grafo_5.txt,DFS,2,-,-,-
grafo_5.txt,BFS,3,1888350,-,191713
grafo_5.txt,DFS,3,1888350,-,2502539
grafo_6.txt,BFS,1,-,-,-
grafo_6.txt,DFS,1,-,-,-
grafo_6.txt,BFS,2,1677854,3607226,3898629
grafo_6.txt,DFS,2,381031,431008,446011
grafo_6.txt,BFS,3,-,-,-
grafo_6.txt,DFS,3,-,-,-
